34196
My Darling Clementine | Linda Darnell | cast_member
How Beautiful You Are (Ayumi Hamasaki song) | Ayumi Hamasaki | lyricist
The Violent Men | Edward G. Robinson | cast_member
Very Bad Things | Jeremy Piven | cast_member
Innsbruck | Tbilisi | twinned_administrative_body
What I Did for Love (David Guetta song) | France | country_of_origin
Casanova 70 | Carlo Ponti | producer
Age of Empires: Castle Siege | Real-time strategy | genre
Critique of Criminal Reason | Faber and Faber | publisher
Perfume: The Story of a Murderer (film) | Dustin Hoffman | cast_member
Due cuori, una cappella | Italian language | original_language_of_film_or_TV_show
Incredible (Keith Murray song) | The Rhyme (song) | follows
Eraserhead | Film | instance_of
The Kissing Bandit (film) | J. Carrol Naish | cast_member
The Witches (1967 film) | Dino De Laurentiis | producer
Conspiracy Theory (film) | Richard Donner | director
The Adventurer (1917 film) | Charlie Chaplin | screenwriter
The Horn Blows at Midnight | Film | instance_of
Brideless Groom | Larry Fine | cast_member
Ishq (2012 film) | Film | instance_of
Ayalathe Adheham | Film | instance_of
The Interrupted Journey | Richard Todd | cast_member
I'd Rather Be Rich | Ross Hunter | producer
Anger Management (film) | Marisa Tomei | cast_member
Junior Doctors: Your Life in Their Hands | London | narrative_location
Kauravar | Joshiy | director
Quantum of Solace | Sony Pictures Entertainment | production_company
Phaedra (film) | Jules Dassin | producer
Mesa Airlines | Mesa Air Group | owned_by
William Pratt (rugby league) | Halifax RLFC | member_of_sports_team
6th Avenue Heartache | The Wallflowers | performer
Joseph Luns | University of Amsterdam | educated_at
Faye Dunaway | Boston University | educated_at
G Men | Sol Polito | director_of_photography
Kolangal (1981 film) | Nedumudi Venu | cast_member
Rasputin and the Empress | Lionel Barrymore | cast_member
Anupam Kher | Film director | occupation
Things We Lost in the Fire (film) | Sam Mercer | producer
The Blues Brothers (film) | James Brown | cast_member
Peruvannapurathe Visheshangal | Jayaram | cast_member
Satish Shah | Mumbai | place_of_birth
The Congregation (album) | A Blowin' Session | follows
The Ambidextrous Universe | Penguin Books | publisher
Margaret I, Countess of Burgundy | Louis II, Count of Flanders | child
The Research Magnificent | United Kingdom | country_of_origin
Two Fathers | Chris Carter (screenwriter) | screenwriter
My Wife (film) | Film | instance_of
Käthe Kollwitz | Pour le Mérite | award_received
Broadway Melody of 1936 | Robert Taylor (actor) | cast_member
The Way Back | Film | instance_of
The Knockout | Roscoe Arbuckle | cast_member
A Walk on the Moon | Dustin Hoffman | producer
Flynn Robinson | Sacramento Kings | drafted_by
Doha | Tirana | twinned_administrative_body
Wild Hogs | Marisa Tomei | cast_member
Boogie Nights | Paul Thomas Anderson | screenwriter
Do Matwale | Sanjay Dutt | cast_member
Messed Around | Black Coffee in Bed | followed_by
Chemical Playschool 3 & 4 | Basilisk (The Legendary Pink Dots album) | follows
Petri Vehanen | HC Neftekhimik Nizhnekamsk | member_of_sports_team
Robert Menzies | Vietnam War | conflict
Eat You Alive | Limp Bizkit | performer
Fivepenny | United Kingdom | country
Resurrecting the Champ | Bob Yari | producer
Cuthbert Goes Walkabout | Microdeal | publisher
Tokuma Shoten | Tokyo | headquarters_location
Two Nights with Cleopatra | Ruggero Maccari | screenwriter
Rajput (film) | Hema Malini | cast_member
Mena Suvari | Newport, Rhode Island | place_of_birth
La porta del cielo | Enzo Masetti | composer
Bob Joyce | Saint John, New Brunswick | place_of_birth
The Family Tree (2011 film) | Selma Blair | cast_member
Natalia Lavrova | Penza | place_of_birth
The Great Longing | Film | instance_of
Jumanji | Robin Williams | cast_member
The Chronicles of Narnia: Prince Caspian | Pierfrancesco Favino | cast_member
End of Watch | Michael Peña | cast_member
The Ship of Condemned Women | Italian language | original_language_of_film_or_TV_show
L. Sprague de Camp | Historian | occupation
To Rome with Love (film) | Penélope Cruz | cast_member
Yuri Alexandrov (ice hockey) | Russia | country_of_citizenship
Chisipite Senior School | Boarding school | instance_of
George Hamilton (actor) | Film director | occupation
Cross Purposes | I.R.S. Records | record_label
The Arnelo Affair | Dean Stockwell | cast_member
The Boys from Syracuse (film) | Eric Blore | cast_member
Riddick (film) | Vin Diesel | producer
Karan Arjun | Film | instance_of
Phaedra (film) | Film | instance_of
Hanover Street (film) | Film | instance_of
Flyaway (novel) | The Enemy (Bagley novel) | follows
George Cave, 1st Viscount Cave | Barrister | occupation
Two Women | Vittorio De Sica | director
One Promise Too Late | Reba McEntire | performer
The Good Son (film) | Elijah Wood | cast_member
P. Vasu | Film director | occupation
Museum of the Imperial Collections | Japan | country
Little Nicky | Adam Sandler | screenwriter
Key Largo (film) | Edward G. Robinson | cast_member
Ellie Goulding | United Kingdom | country_of_citizenship
Charlie Lowery | Point guard | position_played_on_team_/_speciality
François Truffaut | Film director | occupation
Woody Allen | Film director | occupation
Shaotangpa | Myitkyina District | located_in_the_administrative_territorial_entity
A Star Is Born (1954 film) | Jack Carson | cast_member
Metello | Suso Cecchi d'Amico | screenwriter
Pandurangadu | Nandamuri Balakrishna | cast_member
Wilhelm Trendelenburg | Tübingen | place_of_death
The Survivors (1983 film) | Robin Williams | cast_member
Dmitri Nabokov (ice hockey) | New York Islanders | member_of_sports_team
Viktor Tikhonov (ice hockey, born 1988) | Arizona Coyotes | member_of_sports_team
Little Women (1933 film) | Max Steiner | composer
Fragoria | Massively multiplayer online role-playing game | genre
Identity (film) | Film | instance_of
Mrs. Miniver (film) | Battle of Britain | main_subject
Larry Miller (basketball) | Philadelphia 76ers | drafted_by
Conakry | Atlantic Ocean | located_in_or_next_to_body_of_water
Black Beauty: Live at the Fillmore West | Miles Davis | performer
Andrei Skopintsev | HC Vityaz | member_of_sports_team
Ralph Izzard | Queens' College, Cambridge | educated_at
Party Husband | Sidney Hickox | director_of_photography
Alexei Zhamnov | HC Dynamo Moscow | member_of_sports_team
La Notte | France | country_of_origin
The Flying Doctors of East Africa | Werner Herzog | producer
Gader Mousa | Qatar | country_of_citizenship
Wilhelm Pieck | East Germany | country_of_citizenship
Dreamer (Supertramp song) | Bloody Well Right | followed_by
Bhoothnath | Film | instance_of
Pulp Fiction | Quentin Tarantino | director
Battle Beyond the Stars | Roger Corman | producer
Damnation Alley (film) | Jan-Michael Vincent | cast_member
Paul Czinner | Film director | occupation
The Ring (1927 film) | United Kingdom | country_of_origin
George Howell (VC) | Perth | place_of_death
The Last Movie | Dean Stockwell | cast_member
An Airman's Letter to His Mother | Film | instance_of
Tirana | Doha | twinned_administrative_body
Black City (film) | Keenan Wynn | cast_member
Restoration (1995 film) | James Newton Howard | composer
Bayswater tube station | London Underground | part_of
Kunjikuruvi | Film | instance_of
London Belongs to Me | London | narrative_location
Skylark (1941 film) | Claudette Colbert | cast_member
Live! at the Star-Club in Hamburg, Germany; 1962 | The Beatles | performer
Police procedural | Detective fiction | subclass_of
Parashqevi Qiriazi | Albanians | ethnic_group
Legend of Ogre Battle Gaiden: Prince of Zenobia | Tactical role-playing game | genre
Martin Heidegger | Freiburg im Breisgau | place_of_death
Dreaming Apes | 55578 | follows
Kim Norton | University of Nebraska–Lincoln | educated_at
Break Ya Neck | J Records | record_label
Hiraasat | Hema Malini | cast_member
Long Gone (film) | Martin Davidson | director
Yet Another Movie | David Gilmour | lyricist
Out of Reach (song) | Don't Need the Sun to Shine (To Make Me Smile) | followed_by
Emeric Pressburger | Film director | occupation
Lilac Time (1928 film) | Frank Lloyd | director
The Shoes of the Fisherman | Laurence Olivier | cast_member
Mirage (Meat Puppets album) | SST Records | record_label
The Prince and the Pauper (1937 film) | Barton MacLane | cast_member
Some Girls (film) | Jennifer Connelly | cast_member
Hot Hot Hot!!! (The Cure song) | The Cure | performer
Curse of the Pink Panther | United Kingdom | country_of_origin
The Strange Door | Joseph Pevney | director
Io e mia sorella | Ornella Muti | cast_member
The Betsy | Edward Herrmann | cast_member
Basie Big Band | Pablo Records | record_label
Party Wire | Film | instance_of
Get Down (You're the One for Me) | I'll Never Break Your Heart | follows
The Spoilers (1942 film) | John Wayne | cast_member
Felix Hausdorff | University of Bonn | employer
Ayalathe Adheham | Thilakan | cast_member
Inherit the Wind (1960 film) | Film | instance_of
You Made a Wanted Man of Me | I Dream of Women Like You | followed_by
Fanny Foley Herself | Max Steiner | composer
Laurent Boutonnat | France | country_of_citizenship
Te Amo Corazón | Black Sweat | followed_by
808s & Heartbreak | Roc-A-Fella Records | record_label
Ladislav Pejačević | Politician | occupation
Damascus | Cairo | twinned_administrative_body
Camp Nowhere | Film | instance_of
The Conspirator | Film | instance_of
Branded Man (song) | Merle Haggard | performer
Travelers (The X-Files) | Frank Spotnitz | screenwriter
Slow Hands | Matador Records | record_label
The Sea of Grass (film) | Herbert Stothart | composer
Extreme-G 2 | List of vehicular combat games | genre
Condannato a nozze | Asia Argento | cast_member
Dubai | Kuala Lumpur | twinned_administrative_body
Tammy and the Bachelor | Joseph Pevney | director
XXX (2002 film) | Colombia | narrative_location
Bright Young Things (film) | Peter O'Toole | cast_member
My Gal Sal | Film | instance_of
Le Amiche | Film | instance_of
The Hobbit: The Battle of the Five Armies | DVD | distribution_format
The Garden of Earthly Delights (2004 film) | Lech Majewski (film director) | director_of_photography
La stanza del vescovo (film) | Film | instance_of
Gangs of New York | Leonardo DiCaprio | cast_member
The Wildest Dream | Liam Neeson | cast_member
Filipp Metlyuk | Metallurg Magnitogorsk | member_of_sports_team
Hanjuku Hero | Koichi Sugiyama | composer
Get Shorty (film) | Gene Hackman | cast_member
Porgy & Bess (Joe Henderson album) | Joe Henderson | performer
Princess Sophie Hélène Béatrice of France | Louis XVII of France | siblings
Mad Dog and Glory | Martin Scorsese | producer
Blackburn | United Kingdom | country
Hubei | Wuhan | contains_the_administrative_territorial_entity
Marek Zagrapan | HC Ugra | member_of_sports_team
Rope (film) | Alfred Hitchcock | director
Fauj Mein Mauj | Film | instance_of
Curitiba | UTC−03:00 | located_in_time_zone
Titanic (1997 film) | Leonardo DiCaprio | cast_member
Wild Geese Calling | Film | instance_of
Tougher Than Leather | Raising Hell (album) | follows
Spit Your Game | The Notorious B.I.G. | performer
A Date with the Falcon | James Gleason | cast_member
Enid Blyton | London | place_of_birth
Mithunam (1993 film) | Innocent (actor) | cast_member
Tequila Makes Her Clothes Fall Off | Show Dog-Universal Music | record_label
The Patriot (1986 film) | Leslie Nielsen | cast_member
Tom and Jerry | William Hanna | director
Sophie Ellis-Bextor | United Kingdom | country_of_citizenship
Kiyoshi Oka | Japan | country_of_citizenship
Blue Seduction | Billy Zane | cast_member
Vladimir Arnold | Alexander Varchenko | doctoral_student
Billion Dollar Brain | Donald Sutherland | cast_member
Fox on the Box | Casablanca Records | record_label
Deborah Mash | University of Miami | employer
Dale Ellis | Denver Nuggets | member_of_sports_team
Dmitri Tarasov (ice hockey) | Amur Khabarovsk | member_of_sports_team
Key West (TV series) | Denise Crosby | cast_member
The Dam Busters (film) | Film | instance_of
City Heat | Blake Edwards | screenwriter
Outer Hebrides | United Kingdom | country
Twilight (1944 film) | France | country_of_origin
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage%3F!! | Cartoon Network | distributed_by
Pim Fortuyn | Politician | occupation
Danny Markov | HC Dynamo Moscow | member_of_sports_team
Cobra Woman | Mary Nash | cast_member
Follow Me, Boys! | Lillian Gish | cast_member
Madalena Felix | Angola | country_of_citizenship
City of the Living Dead | Film | instance_of
The King of Fighters 2000 | SNK Playmore | developer
40 Carats (film) | Michel Legrand | composer
Denis Abdullin | HC Lada Togliatti | member_of_sports_team
Survival (Eminem song) | Aftermath Entertainment | record_label
So Sweet... So Perverse | Carroll Baker | cast_member
The Apparition | Film | instance_of
End of Days (film) | Kevin Pollak | cast_member
Darius Johnson-Odom | Dallas Mavericks | drafted_by
Albrecht Penck | Leipzig University | educated_at
Michael Tsiselsky | Eastern Front (World War II) | conflict
Kannathil Muthamittal | Prakash Raj | cast_member
Cherry, Harry & Raquel! | Russ Meyer | director_of_photography
Nick Jameson | Film director | occupation
Do Musafir | Pran (actor) | cast_member
Samson and Delilah (1949 film) | Cecil B. DeMille | producer
Dev (film) | A. R. Rahman | composer
Saint Petersburg | Kharkiv | twinned_administrative_body
Too Many Clients | Detective fiction | genre
Dead End (Angel) | David Greenwalt | screenwriter
Georges Oltramare | Politician | occupation
Ai no Chikyūsai | Ii Kurashi | followed_by
Slander (1956 film) | Roy Rowland (film director) | director
The Parent Trap (1961 film) | Film | instance_of
Fire with Fire (2012 film) | Rosario Dawson | cast_member
Secret Admirer | Victor J. Kemper | director_of_photography
Thirty-Three (song) | Billy Corgan | lyricist
Behind the Rising Sun (film) | Film | instance_of
Patrice Chéreau | Lung cancer | cause_of_death
Jonathan Bender | Toronto Raptors | drafted_by
Her Favourite Husband | Steno (director) | screenwriter
