21274
Gilles Mbang Ondo | Libreville | wasBornIn
Robert Young (actor) | The Trial of Mary Dugan (1941 film) | actedIn
Manuel De Sica | The Twist (film) | wroteMusicFor
Basil Dickey | Daughter of Don Q | created
Stéphane Audran | The Devil's Advocate (1977 film) | actedIn
Aitor Ramos | Écija Balompié | isAffiliatedTo
Tony Pennock | Port Talbot Town F.C. | playsFor
Andre Clennon | Waterhouse F.C. | playsFor
Bernard Sumner | Get the Message (song) | created
Ross Nicholson | Onehunga Sports | playsFor
Rosamund Kwan | The Wesley's Mysterious File | actedIn
Pitbull (rapper) | Armada Latina | created
Dulquer Salmaan | Charlie (2015 Malayalam film) | actedIn
Pavel Ruminov | Dead Daughters | created
John Goodall | Watford | diedIn
George Cukor | A Bill of Divorcement (1932 film) | directed
Robert Malm | ES Wasquehal | playsFor
Sam Mendes | Kate Winslet | isMarriedTo
Larry Semon | Golf (film) | directed
Hugo Henrique Arantes Castro da Silva | Associação Desportiva Confiança | isAffiliatedTo
Hakan Akman | Tokatspor | isAffiliatedTo
Neundorf, Saxony-Anhalt | Staßfurt | isLocatedIn
Jay Chou | True Legend | actedIn
Max Benedict | Cone of Silence (film) | edited
Alberto Moravia | A Slice of Life (1954 film) | created
Josh Hartnett | Pearl Harbor (film) | actedIn
Wyclef Jean | 911 (Wyclef Jean song) | created
James Kevin McGuinness | Slaves of Beauty | created
Totò | A Slice of Life (1954 film) | actedIn
Slaviša Dvorančič | NK Krško | isAffiliatedTo
Will Patton | Dillinger (1991 film) | actedIn
Broderick Crawford | Up from the Beach | actedIn
An Sung-hun | Daejeon Korail FC | playsFor
Ludwig I of Bavaria | Nice | diedIn
Roman Gapotiy | Narzan Kislovodsk | playsFor
Michael Rapaport | Lucky Numbers | actedIn
Izzy Stradlin | You Could Be Mine | created
Thomas Kretschmann | Esther (1999 film) | actedIn
Suso Cecchi d'Amico | Conversation Piece (film) | created
Minnie Driver | An Ideal Husband (1999 film) | actedIn
Enrique Iglesias | Be with You (Enrique Iglesias song) | created
Manuel Curto | G.D. Estoril Praia | playsFor
Jack Palance | Craze (film) | actedIn
Duncan Sheik | Montclair, New Jersey | wasBornIn
Aaron Evans | Canberra FC | playsFor
Betty Balfour | 29 Acacia Avenue | actedIn
Ranjith (director) | Ammakilikkoodu | created
The Killers | Bones (The Killers song) | created
Adam Tann | Ebbsfleet United F.C. | playsFor
Mohamed Ousserir | MC El Eulma | playsFor
Steven Weber (actor) | The Kennedys of Massachusetts | actedIn
Aleksandr Tumenko | FC MVD Rossii Moscow | playsFor
Sidney Cartwright | Kiveton Park F.C. | isAffiliatedTo
Sean Conlon | Rock the Party | created
Anthony Martin (footballer) | La Roche VF | playsFor
Randy Newman | Monsters, Inc. | created
Valdís Óskarsdóttir | Akureyri | wasBornIn
Peter Taylor (editor) | The Sandwich Man (1966 film) | edited
Hanna Schygulla | Katzelmacher | actedIn
Samuel S. Hinds | Border Flight | actedIn
Blythe Danner | Meet the Fockers | actedIn
Trevor Nunn | Janet Suzman | isMarriedTo
Ryan M. Kennedy | An Act of War | created
Ben Vereen | Funny Lady | actedIn
László Klausz | SC-ESV Parndorf 1919 | playsFor
Burt Bacharach | I Want You (Janet Jackson song) | created
Éamonn Goulding | Glen Rovers GAA | isAffiliatedTo
Marcelo Andrés Silva Fernández | UD Las Palmas | playsFor
Harold Shumate | Girl in Danger | created
Huntz Hall | Crazy Over Horses | actedIn
Rasmus Lauge Schmidt | SG Flensburg-Handewitt | playsFor
Juvenal Edjogo-Owono | Equatorial Guinea national football team | playsFor
David Thewlis | Divorcing Jack (film) | actedIn
Amy Winehouse | To Know Him Is to Love Him | created
Ilija Ilić | Ocala Stampede | isAffiliatedTo
Thelma Todd | The Gay Defender | actedIn
Lew Landers | Pacific Liner | directed
Magnus Hirschfeld | Nice | diedIn
Daniel Andersson (footballer, born 1972) | Högaborgs BK | playsFor
Michael Ironside | The Omega Code | actedIn
Philippe Celdran | ASOA Valence | playsFor
Shota Chomakhidze | FC Chikhura Sachkhere | playsFor
David Niven | The Little Hut | actedIn
James Franco | In the Valley of Elah | actedIn
Joe Swanberg | Kissing on the Mouth | actedIn
Alfred Roome | Pot Luck (1936 film) | edited
Sudha Kongara | Irudhi Suttru | directed
İshak Doğan | Turkey national football team | playsFor
Alfred Roome | Carry On Doctor | edited
Tom Stoppard | Tony Award | hasWonPrize
Salem County, New Jersey | Salem, New Jersey | isLocatedIn
South Darfur | Darfur | isLocatedIn
Bob Young (TV producer) | Teen Spirit (film) | created
Kerry Washington | Ray (film) | actedIn
Peter MacNicol | Olive, the Other Reindeer | actedIn
Christine McIntyre | Scotched in Scotland | actedIn
Jeff Bridges | Scenes of the Crime | actedIn
Edwin Gyasi | AZ Alkmaar | isAffiliatedTo
James Lindsay (actor) | Nance (film) | actedIn
Dasari Yoganand | Kaveri (1955 film) | directed
Christina Aguilera | I Turn to You (All-4-One song) | created
William Lundigan | The Great Mr. Nobody | actedIn
Jan Claesz Rietschoof | Hoorn | diedIn
Paul Sorvino | Most Wanted (1997 film) | actedIn
Enrique Cardenas | LA Laguna FC | isAffiliatedTo
Ricky Martin | Private Emotion | created
Ilyas Kashmiri (actor) | Ranga Daku | actedIn
Myles Connolly | Youth Takes a Fling | created
Edson Aubert | Los Caimanes | playsFor
Azrul Azmi | PLUS F.C. | isAffiliatedTo
Mickaël Seymand | Gap FC | isAffiliatedTo
Idan David | Hapoel Asi Gilboa F.C. | playsFor
Friedrich Katz | Humboldt University of Berlin | graduatedFrom
Aleksandr Seredokhin | FC CFKiS Lobnya | isAffiliatedTo
Vadivukkarasi | Chinna Kannamma | actedIn
Balázs Venczel | FC Felcsút | isAffiliatedTo
Evaldo Silva dos Santos | Tarxien Rainbows F.C. | isAffiliatedTo
Shaan Rahman | Mili (2015 film) | wroteMusicFor
D. N. Madhok | Gujranwala | wasBornIn
Phil Spector | To Know Him Is to Love Him | created
Jamie Foxx | Slow Jamz | created
Qaleh Bin, Kargan Rud | Talesh County | isLocatedIn
Luis Bacalov | Il Boss | wroteMusicFor
Peter Barnes (playwright) | Spaghetti House | created
Elke Sommer | The Wrecking Crew (1968 film) | actedIn
James Earl Jones | Welcome Home Roscoe Jenkins | actedIn
José Nivaldo Martins Constante | Esporte Clube Guarani | playsFor
Aleksandr Shmarko | FC Khimik Belorechensk | isAffiliatedTo
Knox Township, Jefferson County, Ohio | Jefferson County, Ohio | isLocatedIn
BT (musician) | Monster (2003 film) | created
Constance Cummings | Movie Crazy | actedIn
Lena Olin | The Ninth Gate | actedIn
Ronald Reagan | Jane Wyman | isMarriedTo
Adriane dos Santos | Santos FC (women) | isAffiliatedTo
L'Arc-en-Ciel | My Heart Draws a Dream | created
Oswald Hafenrichter | The Deadly Bees | edited
Aderinsola Habib Eseola | HinterReggio Calcio | isAffiliatedTo
Red Hot Chili Peppers | Show Me Your Soul | created
Benjamin Frankel | Orders to Kill | wroteMusicFor
Max Benedict | The Crowded Day | edited
Stephen E. Rivkin | Nine Months | edited
Darko Mavrak | IFK Norrköping | isAffiliatedTo
John Astin | Bunny O'Hare | actedIn
CeCe Peniston | Stoopid! | created
Michael Parks | Kill Bill | actedIn
William Ludwig | The Student Prince (film) | created
Conrad A. Nervig | An American Romance | edited
Valdeir da Silva Santos | Clube 15 de Novembro | playsFor
Gerardo Carrera Piñera | CD Teruel | isAffiliatedTo
Mark Simpson (soccer) | Orlando Lions | isAffiliatedTo
Paul Lukas | Anybody's Woman | actedIn
Chris Martin | Trouble (Coldplay song) | created
Hasan Gültang | Turkey national football team | playsFor
Kamini Kaushal | Biraj Bahu | actedIn
Fernando Obama | Equatorial Guinea national football team | playsFor
Anna May Wong | Chu Chin Chow (1934 film) | actedIn
Quincy Osei | Club Valencia | playsFor
Miguel Camargo | Panama national football team | isAffiliatedTo
Nir Berkovic | Hapoel Rishon LeZion F.C. | isAffiliatedTo
Henry Hathaway | The Sons of Katie Elder | directed
Chellapilla Satyam | Chanakya (1984 film) | wroteMusicFor
Nick Soolsma | HFC Haarlem | isAffiliatedTo
Mathieu Kassovitz | Assassin(s) | edited
Liza Minnelli | A Matter of Time (film) | actedIn
Dick Maas | Sint | wroteMusicFor
John Heard (actor) | Snake Eyes (film) | actedIn
Maureen O'Hara | Our Man in Havana (film) | actedIn
Ralph Burns | Pennies from Heaven (1981 film) | wroteMusicFor
Jeff Betts | University of Portland | isAffiliatedTo
Vincent Price | Wales | isCitizenOf
Dario Argento | The Five Days | directed
Binnie Barnes | The First Hundred Years (film) | actedIn
Bèbè Kambou | RC Bobo Dioulasso | isAffiliatedTo
Donald Fagen | Dallas (Steely Dan song) | created
Gordon Jones (footballer, born 1889) | Bolton Wanderers F.C. | isAffiliatedTo
Luka Vidmar | Stjernen Hockey | isAffiliatedTo
Franka Potente | Derek Richardson (actor) | isMarriedTo
Brian Donlevy | Allegheny Uprising | actedIn
Sam Sloma | Wealdstone F.C. | playsFor
Ronny Ernst | SpVgg Greuther Fürth | isAffiliatedTo
Rachael Leigh Cook | Red Sky (2014 film) | actedIn
Henk ten Cate | Heracles Almelo | playsFor
Susan Downey | Robert Downey Jr. | isMarriedTo
Steno (director) | How I Lost the War | created
James Cagney | Come Fill the Cup | actedIn
Juan Manuel Ortiz Jiménez | Granada 74 CF | playsFor
Lee Kwang-suk | Yongin City FC | isAffiliatedTo
James Bobin | The Muppets (film) | directed
Lissy Arna | Beyond the Street | actedIn
Charles Bronson | Big House, U.S.A. | actedIn
Michael Powell | The Spy in Black | directed
Lasse Hallström | Chocolat (2000 film) | directed
Christophe Ferron | Stade Lavallois | isAffiliatedTo
Parvathy Jayaram | Akkare Akkare Akkare | actedIn
Sam George (soccer) | Los Angeles Heat | isAffiliatedTo
José Bokung | Deportivo Mongomo | playsFor
Robert Donat | The Private Life of Henry VIII | actedIn
John Irvin | The Fourth Angel | directed
Ed Kelly | New Jersey Americans (soccer) | isAffiliatedTo
Siege of Saqlawiyah | Al Anbar Governorate | happenedIn
Gary Cooper | The Real Glory | actedIn
Carl Finnigan | Township Rollers F.C. | playsFor
Michelle Pfeiffer | Wales | isCitizenOf
Alexis Weisheim | Maccabi Kafr Kanna F.C. | isAffiliatedTo
Alfred Newman (composer) | The Blue Bird (1940 film) | wroteMusicFor
Jade Moore | Leeds Ladies F.C. | playsFor
Arnel Cerafica | Taguig | livesIn
James Caan | Scott Caan | hasChild
Sobhan Babu | Chelleli Kapuram | actedIn
Robert Rossen | Marked Woman | created
Ronny Cox | The Onion Field (film) | actedIn
Gettysburg, South Dakota | Potter County, South Dakota | isLocatedIn
Mirko Castillo | Houston Hotshots | isAffiliatedTo
Bramwell Fletcher | S.O.S. (film) | actedIn
John Schlesinger | The Lost Language of Cranes (film) | actedIn
Madge Evans | Grand Canary (film) | actedIn
Van Heflin | Black Widow (1954 film) | actedIn
Roman Bürki | Borussia Dortmund | playsFor
Socialist Republic of Macedonia | Skopje | hasCapital
Tanju Öztürk | FC Viktoria Köln | isAffiliatedTo
Burt Bacharach | The Windows of the World (song) | created
Kuzehgaran, West Azerbaijan | Central District (Naqadeh County) | isLocatedIn
Elliot Ngok | Return of the Sentimental Swordsman | actedIn
Rover Company | Longbridge | isLocatedIn
Ken Foree | From Beyond (film) | actedIn
Martin Nash (soccer) | Rochester Rhinos | playsFor
Peggy Cummins | Wales | isCitizenOf
Victor Ferraz | São Paulo FC | isAffiliatedTo
Michael Camerini | These Girls Are Missing | directed
Chayawat Srinawong | Bangkok Christian College F.C. | playsFor
Samvrutha Sunil | Diamond Necklace (film) | actedIn
Boris Sagal | Twilight of Honor | directed
Hassan Beyt Saeed | Foolad Khuzestan B F.C. | isAffiliatedTo
Cumulus Media | KVOR | owns
Adele Mara | Roy Huggins | isMarriedTo
Lyle Talbot | A Shriek in the Night | actedIn
Mervyn LeRoy | Strange Lady in Town | directed
Richard Dix | Shanghai Bound | actedIn
Bootsy Collins | Transmutation (Mutatis Mutandis) | created
Mattheus Oliveira | G.D. Estoril Praia | isAffiliatedTo
Henry Hathaway | Souls at Sea | directed
Elwood Ullman | A Plumbing We Will Go | created
Bokeem Woodbine | Edmond (film) | actedIn
Ajit Khan | Naya Daur (1957 film) | actedIn
Robert Earnshaw | Norwich City F.C. | playsFor
Marco Mak | The Magic Crane | edited
Dave Barnett (footballer) | Romulus F.C. | isAffiliatedTo
Robert Florey | Dangerous to Know | directed
Ramil Valeyev | FC Tobol Kurgan | playsFor
David Raksin | Time to Kill (1942 film) | wroteMusicFor
Diaz Kambere | Vancouver Whitecaps (1986–2010) | playsFor
Edward Dmytryk | Million Dollar Legs (1939 film) | directed
Fathi Shaqaqi | Mansoura University | graduatedFrom
Clive Dunn | Brixton | wasBornIn
Vincenzo Cerami | An Average Little Man | created
Daniel Hoffmann | Kocaelispor | isAffiliatedTo
Mor Diouf | AS Douanes (Senegal) | isAffiliatedTo
Walter Ulfig | Assassination (1927 film) | wroteMusicFor
Přemysl Bičovský | FC Admira Wacker Mödling | playsFor
Louis de Funès | Perched on a Tree | actedIn
Rexhe Bytyçi | Albania | isCitizenOf
Jaya Bachchan | Gaai Aur Gori | actedIn
David Julyan | WΔZ | wroteMusicFor
Marshall Neilan | Chloe, Love Is Calling You | directed
Anémone | La Belle Histoire | actedIn
Stone Temple Pilots | Take a Load Off | created
William Alwyn | The Ship That Died of Shame | wroteMusicFor
Sergey Burdin | FC Iskra Smolensk | playsFor
Luke Bryan | Play It Again (Luke Bryan song) | created
Eugen Matiughin | FC Nistru Otaci | isAffiliatedTo
Rana Ranbir | Pata Nahi Rabb Kehdeyan Rangan Ch Raazi | actedIn
Vijay Antony | Salim (film) | wroteMusicFor
Nancy Allen (actress) | Carrie (1976 film) | created
Scott Weiland | Sex Type Thing | created
Richard Avenarius | Humboldt University of Berlin | graduatedFrom
Sarawut Masuk | Bangkok Glass F.C. | playsFor
Daniel Craig | The Adventures of Tintin (film) | actedIn
John Payne (actor) | Miracle on 34th Street | actedIn
Kaikala Satyanarayana | Yamaleela | actedIn
Duran Duran | Electric Barbarella | created
Paul Winfield | King (miniseries) | actedIn
Jaromír Paciorek | FC Zbrojovka Brno | playsFor
Felix Bressart | Iceland (film) | actedIn
Idan David | Maccabi Netanya F.C. | isAffiliatedTo
Jack Oakie | The Great American Broadcast | actedIn
William da Silva Guimarães | Kabuscorp S.C.P. | isAffiliatedTo
Seema Biswas | Hello Darling | actedIn
Francisco José Fernández Mas | Novelda CF | isAffiliatedTo
Michel Legrand | La Piscine (film) | wroteMusicFor
Bruce Willis | Planet Terror | actedIn
Level 42 | A Kinder Eye | created
Vanessa Redgrave | Breath of Life (1990 film) | actedIn
Ti Lung | 7 Assassins | actedIn
Michael Kamen | Polyester (film) | wroteMusicFor
Craig Demmin | Arima | wasBornIn
Melanie Booth | Boston Renegades | playsFor
Melvin Platje | VVV-Venlo | isAffiliatedTo
Steve Martin | Housesitter | actedIn
Mauricio Baldivieso | Cochabamba | wasBornIn
Molly Parker | Rare Birds | actedIn
Charles Trowbridge | Crime School | actedIn
Valentín Pimentel | Panama national football team | playsFor
Anushka Shetty | Khaleja | actedIn
Paul Caligiuri | San Diego Nomads | playsFor
Tiago Henrique Gonçalves | Boa Esporte Clube | playsFor
Klaus Kinski | The Vatican Affair | actedIn
Gérard Gnanhouan | France national under-18 football team | isAffiliatedTo
Indraadip Dasgupta | Hawa Bodol | wroteMusicFor
Bruce Spence | The Shrimp on the Barbie | actedIn
Igor Budiša | NK Marsonia | isAffiliatedTo
Stephen Rea | Citizen X | actedIn
Josef von Sternberg | A Woman of the Sea | created
Tamás Mocsai | SG Flensburg-Handewitt | isAffiliatedTo
Michel Doesburg | AZ Alkmaar | playsFor
John Sayles | Schenectady, New York | wasBornIn
Stephen Rea | Blackthorn (film) | actedIn
Warren Cann | Vienna (Ultravox song) | created
Edna Scheer | Cedarburg, Wisconsin | wasBornIn
Richard Brauer | University of Toronto | worksAt
Francisco Zuela | Kabuscorp S.C.P. | playsFor
Eric Kretz | Out of Time (Stone Temple Pilots song) | created
Richard Hageman | If I Were King | wroteMusicFor
Parakala Prabhakar | Nirmala Sitharaman | isMarriedTo
Ramana Reddy | Lakshadhikari | actedIn
John Ashton (actor) | The Shooter (1995 film) | actedIn
Jason Flemyng | Mean Machine (film) | actedIn
Walter Janssen | Queen of the Night (1931 German-language film) | actedIn
Andrés Muschietti | Argentina | isCitizenOf
Carlos Francisco Jovel Navas | C.D. Vista Hermosa | isAffiliatedTo
Rimavská Sobota District | Rimavská Sobota | hasCapital
Renate Müller | Dear Homeland | actedIn
Bharath Gopi | Sandhya Mayangum Neram | actedIn
Kevin Holness | Toronto Blizzard (1986–93) | isAffiliatedTo
Barbara Farnsworth Heslop | John Heslop | isMarriedTo
Roberto Gavaldón | El hombre de los hongos | directed
Crowded House | Chocolate Cake (song) | created
Ángel Pérez (footballer) | Marino de Luanco | playsFor
Terrence Howard | Big Momma's House | actedIn
Miles Millar | Made Men (film) | created
Joseph Gordon-Levitt | Latter Days | actedIn
Jack Holt (actor) | Empty Hands | actedIn
Frank D. Gilroy | Playhouse 90 | created
Shahriari-ye Sofla | Chahak Rural District | isLocatedIn
Pétur Pétursson | Iceland national football team | isAffiliatedTo
John Goodman | ParaNorman | actedIn
Adolph Deutsch | The Rack (film) | wroteMusicFor
Christine Latham | New Jersey Wildcats | playsFor
Stéphane Rideau | Notre Paradis | actedIn
Alex Carrington | Tupelo, Mississippi | wasBornIn
Art Cohn | Ten Thousand Bedrooms | created
Hari (director) | Venghai | directed
Spike Milligan | The Running Jumping & Standing Still Film | actedIn
Paulo Valentim | Argentino de Quilmes | playsFor
Jim Thompson (writer) | Greg F. Gifune | influences
Big Boi | Hollywood Divorce | created
J-Roc (record producer) | Cabaret (Justin Timberlake song) | created
Mary Kornman | Thundering Fleas | actedIn
Daniell Zeleny | Kaya F.C. | playsFor
Stephen Warbeck | Very Annie Mary | wroteMusicFor
Vũ Ngọc Thịnh | Hải Phòng F.C. | playsFor
Ann-Margret | Stagecoach (1966 film) | actedIn
Eli Wallach | Cinderella Liberty | actedIn
Ray Noorda | Orem, Utah | diedIn
Ginger Rogers | Tight Spot | actedIn
Charles de Gaulle | Cambodia | isCitizenOf
Mila Kunis | Piranha (1995 film) | actedIn
Harry McCoy | Mabel's Busy Day | actedIn
Andy Bell (singer) | Drama! | created
Phil Karlson | Kansas City Confidential | directed
Ronnie Dunn | Red Dirt Road (song) | created
Phil Bolland | Trafford F.C. | playsFor
Issa Sarr | Chippa United F.C. | isAffiliatedTo
Pat Onstad | Toronto Rockets (soccer) | playsFor
Dries Boussatta | AZ Alkmaar | playsFor
Shlomi Dahan | Hapoel Rishon LeZion F.C. | playsFor
Tohou, Benin | Lalo, Benin | isLocatedIn
Santiago Barboza | Atenas de San Carlos | playsFor
